relationship_id,from_entity,to_entity,relationship_type,start_date,end_date,source,description
REL_00000,ENT_00233,OFF_00238,beneficiary_of,2018-09-30,2023-07-10,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00001,ENT_00189,OFF_00142,beneficiary_of,2021-08-29,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00002,ENT_00425,OFF_00221,beneficiary_of,2018-10-10,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00003,ENT_00100,OFF_00147,officer_of,2023-06-19,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00004,ENT_00418,OFF_00008,shareholder_of,2019-11-15,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00005,ENT_00243,OFF_00151,officer_of,2024-02-27,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00006,ENT_00357,OFF_00212,director_of,2015-03-12,2025-02-08,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00007,ENT_00155,OFF_00127,beneficiary_of,2011-09-12,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00008,ENT_00112,OFF_00194,beneficiary_of,2023-12-20,2024-12-02,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00009,ENT_00173,OFF_00247,shareholder_of,2021-09-26,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00010,ENT_00214,OFF_00221,director_of,2014-02-21,2025-01-24,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00011,ENT_00300,OFF_00233,shareholder_of,2012-08-26,2023-05-18,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00012,ENT_00412,OFF_00075,officer_of,2018-01-13,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00013,ENT_00162,OFF_00033,director_of,2020-07-16,2023-04-07,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00014,ENT_00399,OFF_00195,officer_of,2016-03-24,2023-08-23,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00015,ENT_00198,OFF_00199,beneficiary_of,2024-01-20,2025-04-25,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00016,ENT_00352,OFF_00000,beneficiary_of,2016-10-05,2023-03-02,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00017,ENT_00017,OFF_00295,shareholder_of,2022-10-02,2023-12-30,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00018,ENT_00372,OFF_00013,officer_of,2017-11-18,2025-04-27,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00019,ENT_00455,OFF_00106,shareholder_of,2022-05-25,2025-03-23,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00020,ENT_00308,OFF_00232,beneficiary_of,2013-09-04,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00021,ENT_00161,OFF_00239,beneficiary_of,2018-06-27,2022-07-29,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00022,ENT_00006,OFF_00166,officer_of,2017-04-16,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00023,ENT_00251,OFF_00214,director_of,2011-10-21,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00024,ENT_00254,OFF_00070,director_of,2021-08-07,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00025,ENT_00125,OFF_00050,director_of,2014-02-03,2024-04-26,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00026,ENT_00495,OFF_00249,director_of,2017-10-27,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00027,ENT_00000,OFF_00027,beneficiary_of,2019-07-07,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00028,ENT_00398,OFF_00200,beneficiary_of,2021-08-17,2024-10-23,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00029,ENT_00441,OFF_00213,officer_of,2019-03-26,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00030,ENT_00230,OFF_00119,officer_of,2018-02-20,2023-08-23,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00031,ENT_00441,OFF_00228,shareholder_of,2017-11-28,2024-11-24,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
